batch_idx,reconstruction_error,threshold,is_anomaly,pressure_loss,flow_loss,temp_loss
0,575377216.0,883822835.2,False,tensor(7101870.5000),tensor(5.6825e+08),tensor(24990.0137)
1,571222336.0,883822835.2,False,tensor(7109675.5000),tensor(5.6409e+08),tensor(25719.5723)
2,571585088.0,883822835.2,False,tensor(7119746.5000),tensor(5.6444e+08),tensor(24901.7246)
3,579491584.0,883822835.2,False,tensor(7139968.),tensor(5.7233e+08),tensor(23665.7402)
4,586253632.0,883822835.2,False,tensor(7138478.5000),tensor(5.7909e+08),tensor(24024.2383)
5,579989440.0,883822835.2,False,tensor(7138813.5000),tensor(5.7283e+08),tensor(25395.6016)
6,570485568.0,883822835.2,False,tensor(7140007.),tensor(5.6332e+08),tensor(25871.7402)
7,568250816.0,883822835.2,False,tensor(7141859.5000),tensor(5.6108e+08),tensor(25935.6055)
8,571185664.0,883822835.2,False,tensor(7136077.),tensor(5.6402e+08),tensor(26072.2637)
9,565147136.0,883822835.2,False,tensor(7129162.),tensor(5.5799e+08),tensor(26799.4609)
